ID ,Overall Rating ,Documentation Rating ,Ease of learning 
1,3,3,3
2,5,3,3
3,5,3,3
4,5,3,3
5,5,4,3
6,5,4,3
7,3,4,3
8,3,4,3
9,3,4,3
10,3,4,3
11,3,3,3
12,3,3,3
13,3,3,3
14,3,3,3
15,3,3,3
16,3,3,3
17,3,3,3
18,3,4,3
19,3,4,3
20,3,4,3
21,3,4,3
22,3,4,3
23,3,4,3
24,3,4,3
25,3,4,3
26,3,4,3
27,3,4,3
28,3,3,3
29,3,3,5
30,3,3,5
31,4,3,5
32,4,3,5
33,4,3,5
34,4,3,5
35,4,3,5
36,4,3,5
37,4,3,5
38,4,3,5
39,4,3,5
40,4,3,5
41,4,3,5
42,4,3,3
43,4,3,3
44,4,3,3
45,4,3,3
46,3,3,3
47,3,3,3
48,3,3,3
49,3,3,3
50,3,3,3
51,3,3,3
52,3,3,3
